connected_to	1
performs	2
associated_with	3
treats	4
causes	5
part_of	6
manages	7
produces	8
consists_of	9
contains	10
method_of	11
interconnects	12
practices	13
measurement_of	14
analyzes	15
occurs_in	16
diagnoses	17
isa	18
adjacent_to	19
degree_of	20
ingredient_of	21
developmental_form_of	22
manifestation_of	23
conceptual_part_of	24
uses	25
derivative_of	26
exhibits	27
precedes	28
surrounds	29
assesses_effect_of	30
affects	31
disrupts	32
measures	33
complicates	34
process_of	35
conceptually_related_to	36
carries_out	37
evaluation_of	38
indicates	39
location_of	40
co-occurs_with	41
issue_in	42
result_of	43
property_of	44
interacts_with	45
prevents	46
